id,texto,fake
1,"Empréstimos aprovados ao Grupo EBX somaram R$ 10 bi, mas desembolsos foram de R$ 6 bi. Compromissos foram honrados",0
2,"Todos os financiamentos à exportação efetivamente realizados pelo #BNDES podem ser checados em http://www.bndes.gov.br/transparencia . Navegue por mapas, baixe planilhas e acesse PDFs dos contratos https://twitter.com/Presidente20181/status/1001088039551107072 …",0
3,"O BNDES apoia e financia o desenvolvimento do Brasil, seja para a pequena ou para a grande empresa, na cidade ou no campo. Estamos no país inteiro. Onde tem desenvolvimento, temBNDES: http://www.bndes.gov.br .",0
4,O BNDES divulga online informações individualizadas de todos os seus financiamentos contratados desde 2002. ,0
5,"O SCE é lastreado pelo Fundo de Garantia à Exportação (FGE). Ele funciona como todo seguro: cobra prêmios do país responsável pelo pagamento do empréstimo na medida do risco incorrido e, caso haja inadimplência do devedor, indeniza o financiador e busca recuperar o valor em atraso.",0
6,"As receitas do FGE são sempre transferidas para a conta única do Tesouro Nacional. Quando é necessário emitir alguma indenização por conta de um não pagamento ou atraso, os recursos também precisam vir do Orçamento Geral da União (OGU).",0
7,"Os recursos destinados pelo BNDES para financiar investimentos produtivos no Brasil é muitas vezes superior aos recursos que o Banco destina às exportações brasileiras de engenharia, que são equivocadamente classificadas como financiamentos a obras no exterior.",0
8,o BNDES não envia dinheiro a outros países,0
9,"o BNDES não financia todo o empreendimento, mas apenas a parte de bens e serviços brasileiros que são exportados para uso naquela obra",0
10,"o BNDES desembolsa recursos no Brasil, em Reais, à empresa brasileira exportadora à medida que as exportações são realizadas e comprovadas.",0
11,"Quem paga o financiamento ao BNDES, com juros, em dólar ou euro, é o país ou empresa que importa os bens e serviços do Brasil.",0
12,O BNDES não financia obras em países estrangeiros.,0
13,O que o Banco financia a exportação de bens e serviços brasileiros de engenharia para o exterior,0
14,"o BNDES desembolsa os recursos exclusivamente no Brasil, em Reais, para a empresa brasileira, à medida que as exportações vão sendo realizadas e comprovadas.",0
15,"O financiamento do BNDES não cobre, por exemplo, bens adquiridos no exterior ou gastos com mão de obra de trabalhadores dos países onde a obra é realizada.",0
16,Ele cobre exclusivamente os bens e serviços de origem brasileira utilizados na obra.,0
17,"Quando financia exportações brasileiras, o BNDES olha para a capacidade que cada operação tem de gerar emprego, renda e divisas para o Brasil.",0
18,"Os recursos destinados pelo BNDES para financiar investimentos produtivos no Brasil é muitas vezes superior aos recursos que o Banco destina às exportações brasileiras de engenharia, que são equivocadamente classificadas como financiamentos a obras no exterior.",0
